n,q,eta,alpha,rays,cells,max_blackbox_relative_depth_error,mean_blackbox_relative_depth_error,max_blackbox_level_residual,blackbox_function_evaluations,max_cut_recovery_error,global_cells,global_preserved,incumbent_on_boundary,D_min_min,D_mean_mean,D_geo_geomean,mean_log_volume_multiplier,blackbox_seconds,cut_assembly_seconds,tol_cut,tol_cone
4,2,0.25,-0.25,7,4,3.04628330167279e-14,1.49767368207804e-14,9.85878045867139e-14,249,1.24493823305316e-16,4,1,1,1.625,1.71551884192285,1.71300257420498,2.69123861043743,0.002928,0.0101878,1e-09,1e-09
4,2,0.25,-0.5,7,4,2.8421709430404e-14,9.25306593324068e-15,9.9475983006414e-14,253,1.14521928634314e-16,4,1,1,1.75,1.84748182976305,1.84477200298996,3.06177847120599,0.0035015,0.0035669,1e-09,1e-09
4,2,0.25,-0.75,7,4,2.03828724613416e-14,6.51463986148973e-15,7.63833440942108e-14,255,2.368475785867e-16,4,1,1,1.875,1.97944481760327,1.97654143177497,3.40674282864077,0.0022674,0.0011132,1e-09,1e-09
4,2,0.5,-0.25,7,4,2.71309513166369e-14,1.21413027747949e-14,8.83737527601625e-14,257,2.20039563440088e-16,4,1,1,1.625,1.82993023223323,1.81749818379727,2.98730465569402,0.0019445,0.0011173,1e-09,1e-09
4,2,0.5,-0.5,7,4,2.84893100274164e-14,1.3954061632264e-14,9.9475983006414e-14,258,1.19883379042136e-16,4,1,1,1.75,1.97069409625118,1.95730573639706,3.35784451646264,0.0019585,0.001916,1e-09,1e-09
4,2,0.5,-0.75,7,4,2.04369595899152e-14,6.57026413603331e-15,7.63833440942108e-14,217,2.368475785867e-16,4,1,1,1.875,2.11145796026911,2.09711328899685,3.70280887389738,0.0018605,0.0010457,1e-09,1e-09
4,2,1,-0.25,7,4,3.01896161297055e-14,1.37770673288429e-14,9.76996261670138e-14,212,1.21567521059957e-16,4,1,1,1.625,2.19100724517817,2.1059020143692,3.72371942869578,0.0018751,0.0010035,1e-09,1e-09
4,2,1,-0.5,7,4,2.54044935649572e-14,1.2026529334992e-14,8.88178419700125e-14,213,1.12884126698536e-16,4,1,1,1.75,2.35954626403804,2.267894477013,4.09425928946442,0.0018181,0.0009982,1e-09,1e-09
4,2,1,-0.75,7,4,1.80364666563742e-14,4.95712303555364e-15,6.75015598972095e-14,220,2.368475785867e-16,4,1,1,1.875,2.52808528289789,2.42988693965678,4.43922364689916,0.0017711,0.0009841,1e-09,1e-09
4,2,1.5,-0.25,7,4,2.08927133421154e-14,6.15656039965722e-15,6.75015598972095e-14,219,2.14109542836471e-16,4,1,1,1.625,3.09155393442468,2.6361842419648,4.84666254360789,0.0017471,0.0009523,1e-09,1e-09
4,2,1.5,-0.5,7,4,2.80330565728036e-14,1.14734188194566e-14,9.81437153768638e-14,219,5.07530525542929e-16,4,1,1,1.75,3.32936577553426,2.83896764519285,5.21720240437647,0.0020003,0.0010265,1e-09,1e-09
4,2,1.5,-0.75,7,4,9.25032453045834e-15,3.90782434132521e-15,3.5527136788005e-14,226,2.368475785867e-16,4,1,1,1.875,3.56717761664386,3.04175104842093,5.56216676181125,0.0018165,0.0010196,1e-09,1e-09
5,2,0.25,-0.25,11,11,2.32833747043631e-14,1.25385639093957e-14,7.54951656745106e-14,436,1.31025879480608e-16,3,1,1,1.625,1.73618900984254,1.73434899538132,3.30379274511745,0.0031175,0.0041767,1e-09,1e-09
5,2,0.25,-0.5,11,11,2.8421709430404e-14,1.12137279031313e-14,9.9475983006414e-14,434,1.2170449707274e-16,3,1,1,1.75,1.86974201059965,1.86776045656449,3.74844057803975,0.0032407,0.002824,1e-09,1e-09
5,2,0.25,-0.75,11,11,2.11958023653305e-14,1.03010007890251e-14,7.99360577730113e-14,455,2.368475785867e-16,3,1,1,1.875,2.00329501135678,2.00117191774767,4.16239780696148,0.0035549,0.0028779,1e-09,1e-09
5,2,0.5,-0.25,11,11,1.74219613095025e-14,8.01359628591847e-15,5.6843418860808e-14,449,2.50817850322403e-16,3,1,1,1.625,1.87355613088681,1.86435372599288,3.73748679254071,0.0032296,0.0028033,1e-09,1e-09
5,2,0.5,-0.5,11,11,2.65296550173397e-14,1.42037506842725e-14,9.28146448586631e-14,452,1.91524702886736e-16,3,1,1,1.75,2.01767583326271,2.00776555106925,4.18213462546301,0.0031225,0.0027294,1e-09,1e-09
5,2,0.5,-0.75,11,11,2.4998179082133e-14,8.78127553209752e-15,9.41469124882133e-14,414,2.368475785867e-16,3,1,1,1.875,2.16179553563862,2.15117737614563,4.59609185438473,0.003055,0.0028033,1e-09,1e-09
5,2,1,-0.25,11,11,3.05051826836883e-14,1.43593857222153e-14,9.9475983006414e-14,397,1.39229077079089e-16,3,1,1,1.625,2.28716814021056,2.2221102209992,4.79074376638357,0.0030292,0.0029265,1e-09,1e-09
5,2,1,-0.5,11,11,1.95242969285641e-14,6.77613116929135e-15,6.83897383169096e-14,414,1.7070921750597e-16,3,1,1,1.75,2.46310415099598,2.39304177646068,5.2353915993059,0.0030908,0.0028327,1e-09,1e-09
5,2,1,-0.75,11,11,2.51693903159753e-14,1.01436407273443e-14,9.50350909079134e-14,408,2.368475785867e-16,3,1,1,1.875,2.63904016178139,2.56397333192214,5.64934882822756,0.003015,0.0030036,1e-09,1e-09
5,2,1.5,-0.25,11,11,2.01764571451793e-14,7.02379299687396e-15,6.57252030578093e-14,410,2.06368239555189e-16,3,1,1,1.625,3.23191428867854,2.86630063573342,6.31813332737778,0.0030996,0.0028232,1e-09,1e-09
5,2,1.5,-0.5,11,11,2.59475029355728e-14,8.06280570823192e-15,9.05941988094128e-14,412,1.91627651015534e-16,3,1,1,1.75,3.48052308011538,3.08678530002063,6.76278116030016,0.00317,0.0028475,1e-09,1e-09
5,2,1.5,-0.75,11,11,2.55606524255817e-14,1.02706609950934e-14,9.59232693276135e-14,414,2.4113823043001e-16,3,1,1,1.875,3.72913187155218,3.30726996430782,7.17673838922186,0.0030882,0.0028061,1e-09,1e-09
6,2,0.25,-0.25,16,26,2.57758774266299e-14,1.42414580430423e-14,8.34887714518118e-14,671,1.3196866354008e-16,18,1,1,1.625,1.73751186626389,1.735559708532,3.85930971966828,0.0047833,0.0072932,1e-09,1e-09
6,2,0.25,-0.5,16,26,2.8421709430404e-14,1.04665753787257e-14,9.9475983006414e-14,678,1.2012408992649e-16,18,1,1,1.75,1.87116662520725,1.86906430149598,4.37806552474427,0.0048429,0.0072752,1e-09,1e-09
6,2,0.25,-0.75,16,26,2.54515067352932e-14,1.03424412197074e-14,9.54791801177635e-14,688,3.3634745179416e-16,18,1,1,1.875,2.00482138415063,2.00256889446,4.86101562515298,0.0048306,0.0071861,1e-09,1e-09
6,2,0.5,-0.25,16,26,2.64772546022684e-14,1.26456928127641e-14,8.61533067109121e-14,697,2.15082961707874e-16,18,1,1,1.625,1.8771411421598,1.86743257170614,4.37195171834079,0.004787,0.0071549,1e-09,1e-09
6,2,0.5,-0.5,16,26,2.47472450394292e-14,1.36867263832903e-14,8.70414851306123e-14,683,2.26754058851436e-16,18,1,1,1.75,2.02153661463365,2.01108123106817,4.89070752341692,0.0047752,0.0070851,1e-09,1e-09
6,2,0.5,-0.75,16,26,2.58737306551938e-14,9.97659638243599e-15,9.68114477473137e-14,654,2.11637121594679e-16,18,1,1,1.875,2.16593208710748,2.15472989043019,5.37365762382558,0.0047137,0.0070558,1e-09,1e-09
6,2,1,-0.25,16,26,2.32262892168785e-14,1.15502740080838e-14,7.54951656745106e-14,653,2.15107689926148e-16,18,1,1,1.625,2.29992643298006,2.23245674435448,5.62171860706182,0.0047777,0.0070492,1e-09,1e-09
6,2,1,-0.5,16,26,2.75707332472311e-14,1.04219773663899e-14,9.59232693276135e-14,659,2.53765262771464e-16,18,1,1,1.75,2.47684385090162,2.40418418622792,6.14047441213791,0.0047576,0.0070424,1e-09,1e-09
6,2,1,-0.75,16,26,2.65086184145507e-14,9.86292515885324e-15,9.9475983006414e-14,651,2.368475785867e-16,18,1,1,1.875,2.65376126882316,2.57591162810134,6.62342451254656,0.0046757,0.0071625,1e-09,1e-09
6,2,1.5,-0.25,16,26,2.78270690784443e-14,1.23559284724285e-14,9.05941988094128e-14,656,2.17195624480745e-16,18,1,1,1.625,3.25888073155789,2.89394626952843,7.43834743312761,0.0046933,0.0073684,1e-09,1e-09
6,2,1.5,-0.5,16,26,2.82717426914154e-14,9.60793770288967e-15,9.9475983006414e-14,654,3.6956526394006e-16,18,1,1,1.75,3.50956386475466,3.11655752103063,7.95710323820369,0.0046993,0.0074531,1e-09,1e-09
6,2,1.5,-0.75,16,26,2.366426358962e-14,8.67443989816305e-15,8.88178419700125e-14,658,2.368475785867e-16,18,1,1,1.875,3.76024699795143,3.33916877253282,8.44005333861236,0.0047819,0.0075338,1e-09,1e-09
7,2,0.25,-0.25,22,57,2.83980649115078e-14,1.45634517932325e-14,9.2370555648813e-14,956,1.29569953582042e-16,23,1,1,1.625,1.75411999616404,1.75229265418771,4.48740014900833,0.0065722,0.0161367,1e-09,1e-09
7,2,0.25,-0.5,22,57,2.8421709430404e-14,1.65739181992182e-14,9.9475983006414e-14,950,1.20702959352835e-16,23,1,1,1.75,1.88905230356127,1.88708439681753,5.08026392623809,0.0063894,0.0160544,1e-09,1e-09
7,2,0.25,-0.75,22,57,2.63749583732553e-14,1.15625073007034e-14,9.85878045867139e-14,975,3.33676356288682e-16,23,1,1,1.875,2.02398461095849,2.02187613944734,5.63220689813364,0.0066186,0.0162157,1e-09,1e-09
7,2,0.5,-0.25,22,57,2.90126341201901e-14,1.20613748132069e-14,9.41469124882133e-14,980,2.12378829943473e-16,23,1,1,1.625,1.91545076865858,1.90622827423943,5.16101251350671,0.0065889,0.0161149,1e-09,1e-09
7,2,0.5,-0.5,22,57,2.70612057752187e-14,1.17634835559007e-14,9.45910016980633e-14,982,3.43569861959831e-16,23,1,1,1.75,2.06279313547846,2.05286121841168,5.75387629073643,0.0064967,0.016522,1e-09,1e-09
7,2,0.5,-0.75,22,57,2.66165243914436e-14,9.99395134468535e-15,9.9475983006414e-14,953,2.13776802997222e-16,23,1,1,1.875,2.21013550229836,2.19949416258396,6.30581926263209,0.0065651,0.0163031,1e-09,1e-09
7,2,1,-0.25,22,57,2.82591086149183e-14,1.07500961926831e-14,9.2370555648813e-14,944,2.20045416239715e-16,23,1,1,1.625,2.41014867099004,2.34385559372049,6.81437810433965,0.0066648,0.0163987,1e-09,1e-09
7,2,1,-0.5,22,57,2.80415235293775e-14,1.14564930741312e-14,9.85878045867139e-14,941,2.04327886508299e-16,23,1,1,1.75,2.59554472260465,2.52415217785283,7.40724188156941,0.0064044,0.0161423,1e-09,1e-09
7,2,1,-0.75,22,57,2.45516184331217e-14,1.16384118030149e-14,9.2370555648813e-14,944,2.368475785867e-16,23,1,1,1.875,2.78094077421928,2.70444876198519,7.95918485346506,0.0064188,0.0166282,1e-09,1e-09
7,2,1.5,-0.25,22,57,2.98172517607425e-14,1.21158410116111e-14,9.76996261670138e-14,962,1.93425290559548e-16,23,1,1,1.625,3.54271934468796,3.17547242356432,9.2436513287937,0.0068969,0.0169838,1e-09,1e-09
